"","ES1-4","ES5-7","ES8-10","ES11-13","ES14-16","ES17-19","ES20-22","ES23-25","ES26-28","ES29-31","ES32-34","ES35-38","SA1-3","SA4-6","SA7-9","SA10-12","SA13-15","SA16-18","SA19-21","SA22-25"
"ES1-4",NA,0.0099,0.0159,0.0255,0.026,0.0449,0.0386,0.0704,0.0729,0.0787,0.0859,0.0962,0.027,0.0294,0.0456,0.0883,0.0993,0.1113,0.1059,0.0906
"ES5-7",0.0099,NA,0.0089,0.0257,0.0152,0.0326,0.0364,0.0573,0.0609,0.0692,0.0786,0.0947,0.0167,0.0188,0.0336,0.0751,0.0958,0.1059,0.0965,0.0848
"ES8-10",0.0159,0.0089,NA,0.0367,0.006,0.0167,0.0175,0.0295,0.0335,0.0496,0.057,0.0642,0.0164,0.0101,0.0176,0.0546,0.0739,0.0904,0.0729,0.059
"ES11-13",0.0255,0.0257,0.0367,NA,0.0253,0.0479,0.0567,0.098,0.1026,0.0997,0.1079,0.125,0.0313,0.0362,0.0643,0.1156,0.1373,0.1392,0.1357,0.1182
"ES14-16",0.026,0.0152,0.006,0.0253,NA,0.0183,0.0231,0.038,0.0434,0.0526,0.0608,0.0732,0.0111,0.0158,0.0277,0.0667,0.093,0.1011,0.087,0.0677
"ES17-19",0.0449,0.0326,0.0167,0.0479,0.0183,NA,0.009,0.0241,0.0355,0.0664,0.07,0.0764,0.0262,0.0244,0.0396,0.0796,0.1083,0.1266,0.101,0.0762
"ES20-22",0.0386,0.0364,0.0175,0.0567,0.0231,0.009,NA,0.0303,0.0423,0.0646,0.0696,0.078,0.0364,0.0339,0.0426,0.0823,0.1057,0.1237,0.103,0.0775
"ES23-25",0.0704,0.0573,0.0295,0.098,0.038,0.0241,0.0303,NA,0.0158,0.0492,0.063,0.0643,0.0497,0.0395,0.0353,0.0496,0.0697,0.092,0.0659,0.0552
"ES26-28",0.0729,0.0609,0.0335,0.1026,0.0434,0.0355,0.0423,0.0158,NA,0.0344,0.0395,0.033,0.0562,0.044,0.031,0.0386,0.0618,0.0763,0.0482,0.0303
"ES29-31",0.0787,0.0692,0.0496,0.0997,0.0526,0.0664,0.0646,0.0492,0.0344,NA,0.0098,0.0345,0.0668,0.0552,0.0388,0.0259,0.0526,0.0479,0.0292,0.0171
"ES32-34",0.0859,0.0786,0.057,0.1079,0.0608,0.07,0.0696,0.063,0.0395,0.0098,NA,0.0199,0.0734,0.0654,0.0504,0.0461,0.0777,0.069,0.0432,0.0136
"ES35-38",0.0962,0.0947,0.0642,0.125,0.0732,0.0764,0.078,0.0643,0.033,0.0345,0.0199,NA,0.0849,0.0738,0.0584,0.0588,0.0836,0.0823,0.0531,0.0102
"SA1-3",0.027,0.0167,0.0164,0.0313,0.0111,0.0262,0.0364,0.0497,0.0562,0.0668,0.0734,0.0849,NA,0.0103,0.0279,0.0701,0.0947,0.1108,0.0937,0.0804
"SA4-6",0.0294,0.0188,0.0101,0.0362,0.0158,0.0244,0.0339,0.0395,0.044,0.0552,0.0654,0.0738,0.0103,NA,0.0124,0.0505,0.0712,0.0885,0.0712,0.0652
"SA7-9",0.0456,0.0336,0.0176,0.0643,0.0277,0.0396,0.0426,0.0353,0.031,0.0388,0.0504,0.0584,0.0279,0.0124,NA,0.0232,0.0375,0.0555,0.0404,0.0457
"SA10-12",0.0883,0.0751,0.0546,0.1156,0.0667,0.0796,0.0823,0.0496,0.0386,0.0259,0.0461,0.0588,0.0701,0.0505,0.0232,NA,0.0121,0.0238,0.0116,0.0304
"SA13-15",0.0993,0.0958,0.0739,0.1373,0.093,0.1083,0.1057,0.0697,0.0618,0.0526,0.0777,0.0836,0.0947,0.0712,0.0375,0.0121,NA,0.0289,0.0195,0.0524
"SA16-18",0.1113,0.1059,0.0904,0.1392,0.1011,0.1266,0.1237,0.092,0.0763,0.0479,0.069,0.0823,0.1108,0.0885,0.0555,0.0238,0.0289,NA,0.0224,0.0476
"SA19-21",0.1059,0.0965,0.0729,0.1357,0.087,0.101,0.103,0.0659,0.0482,0.0292,0.0432,0.0531,0.0937,0.0712,0.0404,0.0116,0.0195,0.0224,NA,0.0234
"SA22-25",0.0906,0.0848,0.059,0.1182,0.0677,0.0762,0.0775,0.0552,0.0303,0.0171,0.0136,0.0102,0.0804,0.0652,0.0457,0.0304,0.0524,0.0476,0.0234,NA
