trial,Selection.History,Pedigree,CID,SID,GID,INTRID,TID,ENT,Folio,Specific.Name,Name.Abbreviation,Cross.Year,Cross.Location,Cross.Country,Cross.Organization,Cross.Program,FAO.In.trust,Selection.Year,Selection.Location,Selection.Country,Name.Country,Name.Year,genotyped
ES1,CM36064-A-1M-1Y-0M,YR-R-B/TRF//RSK/TRM,7693,9,421213,NA,6860,1,NA,,,0,,MEXICO,CM,BW,Y,0,"M [TOLUCA, EDO DE MEX]",MEXICO,,0,TRUE
ES1,CM34709-G-15M-3Y-0M,CLI//RQ/SOTY/3/SIS/PVN,7680,113,419903,NA,6860,2,NA,,,0,,MEXICO,CM,BW,Y,0,"M [TOLUCA, EDO DE MEX]",MEXICO,,0,TRUE
ES1,CM5287-J-1Y-2M-2Y-3M-0Y-0MEX,TZPP/PL//7C,7401,9,3881,NA,6860,3,NA,NACOZARI F 76,NAC,0,,MEXICO,CM,BW,Y,0,MEX [MEXICO],MEXICO,MEXICO,1976,TRUE
ES1,CM33027-F-3M-1Y-0M,KVZ/BUHO//KAL/BB,7691,10,13646,NA,6860,4,NA,VEERY #10,VEE#10,0,,MEXICO,CM,BW,Y,1983,"M [TOLUCA, EDO DE MEX]",MEXICO,MEXICO,1983,TRUE
ES1,CM31630-I-1Y-2M-5Y-0M,INIA66/7C//MAYA/3/PCI/TRM,7631,16,418846,NA,6860,5,NA,,,0,,MEXICO,CM,BW,Y,0,"M [TOLUCA, EDO DE MEX]",MEXICO,,0,TRUE
ES1,CM31630-I-1Y-2M-4Y-0M,INIA66/7C//MAYA/3/PCI/TRM,7631,14,418852,NA,6860,6,NA,,,0,,MEXICO,CM,BW,Y,0,"M [TOLUCA, EDO DE MEX]",MEXICO,,0,TRUE
ES1,CM39814-500M-502Y-0M,MAYA/3/KAL/BB//7C/NAD/4/HORK,7855,10,423804,NA,6860,7,NA,,,0,,MEXICO,CM,BW,Y,0,"M [TOLUCA, EDO DE MEX]",MEXICO,,0,TRUE
ES1,CM38199-L-11Y-1M-1Y-0M,EMU/MRS//KAL/BB,7760,9,421963,NA,6860,8,NA,,,0,,MEXICO,CM,BW,Y,0,"M [TOLUCA, EDO DE MEX]",MEXICO,,0,TRUE
ES1,CM37756-A-7Y-3M-1Y-0M,CNO67/SOTY//TOB/3/TOB*2/NAPO//INIA66/NAPO/4/MON,266848,4,2157142,NA,6860,9,NA,,,0,,MEXICO,CM,BW,Y,0,"M [TOLUCA, EDO DE MEX]",MEXICO,,0,TRUE
ES1,CM37705-C-1Y-4M-0Y,BB/CNO67//INIA66/SOTY/3/SPRW/4/PVN,7811,28,422965,NA,6860,10,NA,,,0,,MEXICO,CM,BW,Y,0,Y [YAQUI],MEXICO,,0,TRUE
ES1,CM37614-B-14Y-4M-3Y-0M,JUP/ZP//COC,111680,22,1477928,NA,6860,11,NA,,,0,,MEXICO,CM,BW,Y,0,"M [TOLUCA, EDO DE MEX]",MEXICO,,0,TRUE
ES1,CM34742-E-2M-8Y-2M-1Y-0M,BJY/GJO/4/MAI/3/BB//TOB/CNO67,7684,25,420055,NA,6860,12,NA,,,0,,MEXICO,CM,BW,Y,0,"M [TOLUCA, EDO DE MEX]",MEXICO,,0,TRUE
