trial;Selection.History;Pedigree;CID;SID;GID;INTRID;TID;ENT;Folio;Specific.Name;Name.Abbreviation;Cross.Year;Cross.Location;Cross.Country;Cross.Organization;Cross.Program;FAO.In.trust;Selection.Year;Selection.Location;Selection.Country;Name.Country;Name.Year;genotyped
SA1;-0BGD;UP301/SUJATA;2565;3;16170;BW22065;5428;1;NA;KANCHAN;;0;NA;;;BW;Y;0;BGD [BANGLADESH];BANGLADESH;BANGLADESH;1983;TRUE
SA1;CM88533-73M-0Y-0M-9Y-0M;F6.74/BUN//SIS/3/YR/PAM;8640;87;449286;BW22066;5428;2;NA;;;0;NA;MEXICO;CM;BW;Y;0;M [TOLUCA, EDO DE MEX];MEXICO;;0;TRUE
SA1;CM82533-08TOPM-15Y-025H-0SY-2M-0Y;FCH3/SNI//NKT;8456;11;62427;BW22067;5428;3;NA;;;0;NA;MEXICO;CM;BW;Y;0;Y [YAQUI];MEXICO;;0;TRUE
SA1;CM88144-13Y-0M-0Y-4M-0Y;LIRA/TAN;8631;17;345692;BW22068;5428;4;NA;;;0;NA;MEXICO;CM;BW;Y;0;Y [YAQUI];MEXICO;;0;TRUE
SA1;;LOCAL CHECK;61665;1;304660;;5428;5;NA;LOCAL CHECK;LOCCK;0;NA;MEXICO;;BW;Y;0;;;MEXICO;0;TRUE
SA1;CM85295-0101Y-2M-0Y-0M-1Y-0M;PFAU/SERI//BOW;9329;6;41372;BW22069;5428;6;NA;;;0;NA;MEXICO;CM;BW;Y;0;M [TOLUCA, EDO DE MEX];MEXICO;;0;TRUE
SA1;F30077-D-903Y-902D-0Y;BR12*3/3/JUP//PAR214*6/RL6043;22895;22;676088;BW22070;5428;7;NA;;;0;NA;;F;BW;Y;0;Y [YAQUI];MEXICO;;0;FALSE
SA1;;TIBA 63E//IN*2/KR/3/TOB/CNO67//OLN/4/KLRE.E/3/INIA66/BB//NAI60E;32934;1;754022;BW22071;5428;8;NA;[TEMPORALERA];;0;NA;;II;BW;Y;0;;;;0;FALSE
SA1;CM90690-17Y-0H-0Y-3M-0Y;LIRA//MYNA/VUL;8683;16;451760;BW22072;5428;9;NA;;;0;NA;MEXICO;CM;BW;Y;0;Y [YAQUI];MEXICO;;0;TRUE
SA1;CM33483-C-7M-1Y-0M-5B-0Y-0MEX;BB/GLL//CARP/3/PVN;7795;6;14103;BW22073;5428;10;NA;GALVEZ S 87;GALVEZ;0;NA;MEXICO;CM;BW;Y;0;MEX [MEXICO];MEXICO;MEXICO;1987;TRUE
SA1;CM90797-1Y-0M-0Y-4M-0Y;OR791432/VEE#3.2;23371;12;677968;BW22074;5428;11;NA;;;0;NA;MEXICO;CM;BW;Y;0;Y [YAQUI];MEXICO;;0;TRUE
SA1;CM90561-21Y-0M-0Y-2M-0Y;F6.74/BUN//SIS/3/LIRA;8668;22;222586;BW22075;5428;12;NA;;;0;NA;MEXICO;CM;BW;Y;0;Y [YAQUI];MEXICO;;0;TRUE
SA1;CM100657-AA-0B-0Y;OPATA*3/WULP;8789;18;455995;BW22076;5428;13;NA;;;0;NA;MEXICO;;BW;Y;0;Y [YAQUI];MEXICO;;0;TRUE
SA1;CM8399;VCM//CNO67/7C/3/KAL/BB;7624;0;2457;BW22077;5428;14;NA;PAVON;PAVON;0;NA;MEXICO;CM;BW;Y;0;;;MEXICO;0;TRUE
SA1;CM90738-43Y-0H-0Y-1M-0Y;KITE/PGO;8568;191;445753;BW22078;5428;15;NA;;;0;NA;MEXICO;CM;BW;Y;0;Y [YAQUI];MEXICO;;0;FALSE
SA1;CM90753-1Y-0M-0Y-1M-0Y;L15682/GEN;23372;5;678105;BW22079;5428;16;NA;;;0;NA;MEXICO;CM;BW;Y;0;Y [YAQUI];MEXICO;;0;TRUE
SA1;CM79922-11Y-025H-0SY-4M-0Y;VEE#8/5/VEE/4/KLTO//S12/J9281.67/3/MO/JUP;8451;7;88208;BW22080;5428;17;NA;;;0;NA;MEXICO;CM;BW;Y;0;Y [YAQUI];MEXICO;;0;TRUE
