trial,CID,SID,GID,TID
SA1,2565,3,GID16170,5428
SA1,8640,87,GID449286,5428
SA1,8456,11,GID62427,5428
SA1,8631,17,GID345692,5428
SA1,9329,6,GID41372,5428
SA1,8683,16,GID451760,5428
SA1,7795,6,GID14103,5428
SA1,23371,12,GID677968,5428
SA1,8668,22,GID222586,5428
SA1,8789,18,GID455995,5428
SA1,7624,0,GID2457,5428
SA1,23372,5,GID678105,5428
SA1,8451,7,GID88208,5428
SA1,8703,14,GID88522,5428
SA1,39361,29,GID4554587,5428
SA1,21264,52,GID222360,5428
SA1,8703,107,GID453894,5428
SA1,7847,32,GID170040,5428
SA1,21616,26,GID82480,5428
SA1,9334,5,GID471368,5428
SA1,50799,43,GID897050,5428
SA1,9317,7,GID80559,5428
SA1,21459,29,GID80496,5428
SA1,8946,6,GID42274,5428
SA2,8041,6,GID41830,6437
SA2,7847,9,GID42174,6437
SA2,8182,19,GID66369,6437
SA2,9319,5,GID88448,6437
SA2,21642,13,GID66925,6437
SA2,8890,34,GID41948,6437
SA2,54408,22,GID88470,6437
SA2,8564,303,GID88412,6437
SA2,23371,119,GID88517,6437
SA2,20570,301,GID88560,6437
SA2,8568,47,GID88509,6437
SA2,20569,606,GID88552,6437
SA2,8703,22,GID88425,6437
SA2,20570,549,GID88568,6437
SA2,20570,583,GID88404,6437
SA2,19277,676,GID88584,6437
SA2,20646,287,GID88436,6437
SA2,21353,90,GID88442,6437
SA2,20593,321,GID88598,6437
SA2,21425,36,GID88623,6437
SA2,20562,14,GID88631,6437
SA2,20581,83,GID88650,6437
SA2,20581,85,GID88639,6437
SA2,20614,226,GID88658,6437
SA2,17361,224,GID88674,6437
SA2,17361,230,GID88666,6437
SA2,20644,182,GID88682,6437
SA2,20199,297,GID88701,6437
SA2,20894,54,GID88710,6437
SA2,8216,14,GID88715,6437
SA2,25646,4,GID88719,6437
SA2,8235,16,GID97474,6437
SA3,7414,205,GID72533,6822
SA3,95668,1,GID130092,6822
SA3,7741,7,GID13396,6822
SA3,113564,0,GID126306,6822
SA3,122505,-1,GID128843,6822
SA3,23371,5,GID143009,6822
SA3,19715,376,GID143017,6822
SA3,8216,9,GID85852,6822
SA3,8626,42,GID144554,6822
SA3,20646,506,GID270484,6822
SA3,17361,372,GID222371,6822
SA3,7624,7,GID2465,6822
SA3,95758,12,GID109278,6822
SA3,8182,34,GID271590,6822
SA3,21642,33,GID170077,6822
SA3,9329,15,GID77500,6822
SA3,9337,17,GID471402,6822
SA3,21172,29,GID170023,6822
SA3,8642,219,GID222478,6822
SA3,8664,10,GID222344,6822
SA3,23371,136,GID144543,6822
SA3,8703,92,GID88418,6822
SA3,8626,44,GID144862,6822
SA3,20569,835,GID144568,6822
SA3,19277,1093,GID144612,6822
SA3,20646,504,GID144826,6822
SA3,20573,1003,GID222567,6822
SA3,20614,225,GID631700,6822
SA3,17361,378,GID144638,6822
SA3,19811,1061,GID144656,6822
SA3,20892,48,GID640876,6822
SA3,19652,474,GID86005,6822
SA3,38340,107,GID770319,6822
SA3,9292,8,GID82710,6822
SA3,9370,5,GID85861,6822
SA4,8626,465,GID447647,7509
SA4,8145,7,GID80512,7509
SA4,9329,41,GID297260,7509
SA4,8890,213,GID268922,7509
SA4,54408,65,GID222492,7509
SA4,8562,411,GID96501,7509
SA4,8564,362,GID170046,7509
SA4,8686,21,GID85587,7509
SA4,21248,8,GID85897,7509
SA4,19277,704,GID88579,7509
SA4,21353,92,GID324966,7509
SA4,26644,36,GID222353,7509
SA4,20573,743,GID88606,7509
SA4,20573,1021,GID626650,7509
SA4,20614,355,GID222445,7509
SA4,8814,111,GID222375,7509
SA4,20072,57,GID222521,7509
SA4,8792,30,GID222379,7509
SA4,38529,142,GID222391,7509
SA4,38536,30,GID222552,7509
SA4,38540,68,GID222397,7509
SA4,38576,71,GID222403,7509
SA4,38584,135,GID222508,7509
SA4,38599,48,GID222409,7509
SA4,38599,51,GID777391,7509
SA4,68814,155,GID222415,7509
SA4,38339,167,GID168979,7509
SA4,38350,65,GID222606,7509
SA4,21658,13,GID68460,7509
SA4,8785,39,GID88498,7509
SA4,19277,1094,GID170091,7509
SA4,20894,104,GID170062,7509
SA4,7931,11,GID85138,7509
SA4,8656,152,GID169387,7509
SA5,7506,46,GID66363,8284
SA5,8130,126,GID431445,8284
SA5,9329,40,GID268825,8284
SA5,39361,403,GID4970584,8284
SA5,20573,1019,GID270393,8284
SA5,21264,56,GID270518,8284
SA5,17393,628,GID271579,8284
SA5,20894,502,GID268836,8284
SA5,20894,504,GID270624,8284
SA5,19715,736,GID324377,8284
SA5,19715,753,GID324452,8284
SA5,13918,164,GID498834,8284
SA5,14005,74,GID270559,8284
SA5,14107,105,GID510934,8284
SA5,14189,337,GID515272,8284
SA5,14284,125,GID346200,8284
SA5,15866,174,GID346247,8284
SA5,15485,126,GID532190,8284
SA5,18555,39,GID575356,8284
SA5,18961,420,GID270402,8284
SA5,18974,75,GID270428,8284
SA5,19007,269,GID324715,8284
SA5,26935,243,GID270406,8284
SA5,30956,341,GID270463,8284
SA5,31046,458,GID741293,8284
SA5,31046,464,GID740977,8284
SA5,31046,471,GID741166,8284
SA5,38523,21,GID270453,8284
SA5,54002,243,GID270639,8284
SA5,54002,169,GID170752,8284
SA5,54002,170,GID218678,8284
SA5,54005,198,GID346047,8284
SA5,48449,153,GID851963,8284
SA5,22957,5,GID324847,8284
SA5,52645,26,GID902339,8284
SA5,206668,6,GID1995922,8284
SA5,206667,6,GID1995921,8284
SA5,140731,33,GID1706327,8284
SA5,95699,11,GID1370653,8284
SA5,113708,26,GID1493157,8284
SA5,269404,7,GID2163880,8284
SA5,7589,86,GID1987914,8284
SA6,8648,10,GID346095,9269
SA6,20558,46,GID346148,9269
SA6,20576,154,GID346153,9269
SA6,19811,1149,GID346168,9269
SA6,17393,420,GID566912,9269
SA6,20894,501,GID268832,9269
SA6,14185,136,GID346189,9269
SA6,14345,182,GID346212,9269
SA6,14367,135,GID346227,9269
SA6,13590,186,GID486816,9269
SA6,30956,378,GID346260,9269
SA6,31046,706,GID740897,9269
SA6,31046,711,GID325168,9269
SA6,31046,712,GID390895,9269
SA6,31046,714,GID389183,9269
SA6,44091,66,GID346294,9269
SA6,52429,27,GID346303,9269
SA6,55891,85,GID915212,9269
SA6,48445,155,GID325179,9269
SA6,48445,158,GID851806,9269
SA6,38599,53,GID346370,9269
SA6,49395,844,GID346394,9269
SA6,49447,154,GID346403,9269
SA6,48666,52,GID346413,9269
SA6,54002,309,GID909857,9269
SA6,54005,193,GID346421,9269
SA6,54010,185,GID346459,9269
SA6,75495,122,GID346479,9269
SA6,75514,52,GID1169832,9269
SA6,75517,244,GID346493,9269
SA6,75517,246,GID325190,9269
SA6,122671,247,GID358209,9269
SA6,111989,4,GID128567,9269
SA7,709,1,GID3400,10556
SA7,7151,12,GID24744,10556
SA7,8420,14,GID297258,10556
SA7,8420,30,GID438261,10556
SA7,8345,52,GID437081,10556
SA7,8276,782,GID435387,10556
SA7,8349,22,GID393392,10556
SA7,8548,482,GID358192,10556
SA7,20756,77,GID639377,10556
SA7,19715,735,GID297223,10556
SA7,48604,45,GID855485,10556
SA7,61368,190,GID984151,10556
SA7,61614,92,GID368747,10556
SA7,68844,83,GID1093624,10556
SA7,68951,36,GID393402,10556
SA7,84245,115,GID1227341,10556
SA7,84245,114,GID1227344,10556
SA7,84322,98,GID1229025,10556
SA7,9370,12,GID390966,10556
SA7,38340,170,GID393415,10556
SA7,38340,171,GID770263,10556
SA7,38340,172,GID770260,10556
SA7,38340,176,GID770250,10556
SA7,38349,301,GID770704,10556
SA7,19927,243,GID393406,10556
SA7,65968,22,GID217385,10556
SA7,22956,7,GID676429,10556
SA8,24762,30,GID197187,12010
SA8,8890,1549,GID2430154,12010
SA8,8198,10,GID434116,12010
SA8,160304,76,GID1812971,12010
SA8,160341,67,GID1815633,12010
SA8,160366,163,GID1817366,12010
SA8,160375,57,GID1817816,12010
SA8,160380,182,GID1818147,12010
SA8,38117,181,GID766786,12010
SA8,38597,135,GID777217,12010
SA8,38597,139,GID777205,12010
SA8,38597,140,GID777202,12010
SA8,38599,115,GID777350,12010
SA8,38599,120,GID777335,12010
SA8,39133,107,GID781213,12010
SA8,38704,116,GID778966,12010
SA8,38704,119,GID778957,12010
SA8,38704,121,GID778951,12010
SA8,48666,123,GID860246,12010
SA8,48666,124,GID860243,12010
SA8,48666,125,GID860240,12010
SA8,48666,127,GID860234,12010
SA8,48666,128,GID860231,12010
SA8,48666,129,GID860228,12010
SA8,37950,188,GID763509,12010
SA8,37950,189,GID763506,12010
SA8,60918,193,GID980127,12010
SA8,92194,115,GID1328764,12010
SA8,92238,80,GID1329702,12010
SA8,92279,89,GID1330834,12010
SA8,289276,20,GID2243598,12010
SA8,289455,7,GID2244380,12010
SA8,289434,5,GID2244167,12010
SA8,22956,9,GID676428,12010
SA9,28263,125,GID716916,13892
SA9,38597,145,GID777187,13892
SA9,38597,136,GID777214,13892
SA9,48666,133,GID860216,13892
SA9,67706,112,GID2454803,13892
SA9,72726,530,GID1118891,13892
SA9,72726,531,GID1118888,13892
SA9,72726,532,GID1118885,13892
SA9,72726,630,GID2454893,13892
SA9,72726,631,GID2454892,13892
SA9,100422,108,GID1397188,13892
SA9,101209,116,GID1400268,13892
SA9,98935,80,GID1390963,13892
SA9,101750,63,GID1403850,13892
SA9,102061,99,GID1405071,13892
SA9,100404,89,GID1397030,13892
SA9,101714,72,GID1403557,13892
SA9,134509,77,GID1657904,13892
SA9,114094,455,GID1498555,13892
SA9,121605,89,GID1552709,13892
SA9,121925,59,GID1558746,13892
SA9,121959,105,GID1560026,13892
SA9,289294,10,GID2243740,13892
SA9,289279,51,GID2243654,13892
SA9,119588,217,GID1520836,13892
SA9,134533,121,GID1658223,13892
SA9,134533,122,GID1658220,13892
SA9,134535,352,GID1658342,13892
SA9,134539,237,GID1658710,13892
SA9,134539,239,GID1658704,13892
SA9,134539,240,GID1658701,13892
SA9,134621,144,GID1660625,13892
SA9,134654,63,GID1661139,13892
SA9,58520,34,GID2453300,13892
SA9,58561,34,GID2453315,13892
SA9,160299,123,GID1812527,13892
SA9,287525,32,GID2448313,13892
SA9,260140,83,GID2448314,13892
SA9,260140,84,GID2448315,13892
SA9,287520,23,GID2611983,13892
SA9,260144,35,GID2601498,13892
SA10,67613,64,GID2454796,14993
SA10,67775,68,GID2454812,14993
SA10,69587,53,GID2454846,14993
SA10,66776,198,GID2454713,14993
SA10,69933,118,GID2454848,14993
SA10,98671,86,GID1389162,14993
SA10,100005,121,GID1395073,14993
SA10,101579,89,GID1402700,14993
SA10,91275,39,GID2460289,14993
SA10,133480,252,GID1636496,14993
SA10,158324,48,GID2478018,14993
SA10,158452,134,GID3616959,14993
SA10,206280,223,GID3567684,14993
SA10,209899,70,GID3630907,14993
SA10,209899,71,GID3574438,14993
SA10,209899,72,GID3630906,14993
SA10,209899,73,GID3630905,14993
SA10,209917,85,GID3630914,14993
SA10,209917,89,GID3630911,14993
SA10,209958,73,GID3630923,14993
SA10,209972,69,GID3630926,14993
SA10,303945,460,GID3669874,14993
SA10,334631,7,GID2685839,14993
SA10,260132,45,GID2671579,14993
SA10,260136,64,GID2671698,14993
SA10,260136,65,GID2671697,14993
SA10,260140,111,GID2601147,14993
SA10,260140,116,GID2601142,14993
SA10,260142,58,GID2601477,14993
SA10,287515,34,GID2672707,14993
SA10,287517,40,GID2672710,14993
SA10,287517,42,GID2672708,14993
SA10,287525,43,GID2612116,14993
SA10,287525,48,GID2673145,14993
SA10,287529,38,GID2673150,14993
SA10,287530,49,GID2673154,14993
SA10,313196,56,GID3686320,14993
SA10,313200,45,GID3686333,14993
SA10,313215,53,GID3686358,14993
SA10,313296,45,GID3686491,14993
SA11,88241,1,GID270673,16447
