"Trial.name","eswyt","eswyt.no","Occ","Loc_no","Country","Loc_desc","Cycle","CID","SID","Gen_name","Trait_no","Trait.name","Value","EMS","SE","Unit","cidsid"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",8890,1549,"PBW343",144,"GRAIN_YIELD",7.259,0.012,0.472,"t/ha","8890_1549"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",8890,1549,"PBW343",144,"GRAIN_YIELD",6.289,0.184,0.679,"t/ha","8890_1549"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",8890,1549,"PBW343",144,"GRAIN_YIELD",7.563,0.136,0.369,"t/ha","8890_1549"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",8890,1549,"PBW343",144,"GRAIN_YIELD",8.818,0.195,0.442,"t/ha","8890_1549"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",11,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",8890,1549,"PBW343",144,"GRAIN_YIELD",6.364,0.057,0.239,"t/ha","8890_1549"
"29TH ELITE SPRING WHEAT YT",29,"eswyt.29",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2008",8890,1549,"PBW343",144,"GRAIN_YIELD",5.969,0.036,0.499,"t/ha","8890_1549"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",29,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",8890,1549,"PBW343",144,"GRAIN_YIELD",6.42,0.061,0.488,"t/ha","8890_1549"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",32,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",8890,1549,"PBW343",144,"GRAIN_YIELD",6.67,0.209,0.457,"t/ha","8890_1549"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",33,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",8890,1549,"PBW343",144,"GRAIN_YIELD",5.729,0.169,0.411,"t/ha","8890_1549"
"32ND ELITE SPRING WHEAT YT",32,"eswyt.32",40,42141,"MEXICO","CIANO-FLAT-5IR","2011",8890,1549,"PBW343",144,"GRAIN_YIELD",5.444,0.041,0.351,"t/ha","8890_1549"
"32ND ELITE SPRING WHEAT YT",32,"eswyt.32",41,42141,"MEXICO","CIANO-FLAT-5IR","2011",8890,1549,"PBW343",144,"GRAIN_YIELD",2.996,0.103,0.32,"t/ha","8890_1549"
"34TH ELITE SPRING WHEAT YT",34,"eswyt.34",18,42140,"MEXICO","CIANO-BED-5IR","2013",8890,1549,"PBW343",144,"GRAIN_YIELD",5.806,0.015,0.437,"t/ha","8890_1549"
"34TH ELITE SPRING WHEAT YT",34,"eswyt.34",19,42141,"MEXICO","CIANO-FLAT-5IR","2013",8890,1549,"PBW343",144,"GRAIN_YIELD",5.75,0.002,0.262,"t/ha","8890_1549"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",133891,1065,"MURGA",144,"GRAIN_YIELD",8.308,0.136,0.369,"t/ha","133891_1065"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",133891,1065,"MURGA",144,"GRAIN_YIELD",8.795,0.195,0.442,"t/ha","133891_1065"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",45,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",160278,68,"TARACHI F 2000",144,"GRAIN_YIELD",8.409,0.012,0.472,"t/ha","160278_68"
"27TH ELITE SPRING WHEAT YT",27,"eswyt.27",46,42138,"MEXICO","CIANO - FULL IRRIGATION","2006",160278,68,"TARACHI F 2000",144,"GRAIN_YIELD",7.724,0.184,0.679,"t/ha","160278_68"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",12,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",160278,68,"TARACHI F 2000",144,"GRAIN_YIELD",8.207,0.136,0.369,"t/ha","160278_68"
"28TH ELITE SPRING WHEAT YT",28,"eswyt.28",13,42138,"MEXICO","CIANO - FULL IRRIGATION","2007",160278,68,"TARACHI F 2000",144,"GRAIN_YIELD",9.667,0.195,0.442,"t/ha","160278_68"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",29,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",313209,45,"WAXWING",144,"GRAIN_YIELD",6.657,0.061,0.488,"t/ha","313209_45"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",32,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",313209,45,"WAXWING",144,"GRAIN_YIELD",7.37,0.209,0.457,"t/ha","313209_45"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",33,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",313209,45,"WAXWING",144,"GRAIN_YIELD",6.433,0.169,0.411,"t/ha","313209_45"
"30TH ELITE SPRING WHEAT YT",30,"eswyt.30",29,42138,"MEXICO","CIANO - FULL IRRIGATION","2009",320352,130,"SERI.1B*2/3/KAUZ*2/BOW//KAUZ",144,"GRAIN_YIELD",6.446,0.061,0.488,"t/ha","320352_130"
